"","state","state.fips","county","county.code","commodity","data.item","domain.category","value"
"South_Dakota.2673","SOUTH DAKOTA",46,"HAND",59,"EXPENSE TOTALS","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION","","518,813"
"South_Dakota.2674","SOUTH DAKOTA",46,"HAND",59,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME","","405"
"South_Dakota.2675","SOUTH DAKOTA",46,"HAND",59,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $","","45,229,000"
"South_Dakota.2676","SOUTH DAKOTA",46,"HAND",59,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION","","111,678"
"South_Dakota.2677","SOUTH DAKOTA",46,"HAND",59,"CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","","203"
"South_Dakota.2678","SOUTH DAKOTA",46,"HAND",59,"CATTLE","CATTLE, INCL CALVES - INVENTORY","","101,899"
"South_Dakota.2679","SOUTH DAKOTA",46,"HAND",59,"CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","","191"
"South_Dakota.2680","SOUTH DAKOTA",46,"HAND",59,"CATTLE","CATTLE, COWS, BEEF - INVENTORY","","(D)"
"South_Dakota.2681","SOUTH DAKOTA",46,"HAND",59,"CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","","3"
"South_Dakota.2682","SOUTH DAKOTA",46,"HAND",59,"CATTLE","CATTLE, COWS, MILK - INVENTORY","","(D)"
"South_Dakota.2683","SOUTH DAKOTA",46,"HAND",59,"CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH SALES","","203"
"South_Dakota.2684","SOUTH DAKOTA",46,"HAND",59,"CATTLE","CATTLE, INCL CALVES - SALES, MEASURED IN HEAD","","59,466"
"South_Dakota.2685","SOUTH DAKOTA",46,"HAND",59,"HOGS","HOGS - OPERATIONS WITH INVENTORY","","3"
"South_Dakota.2686","SOUTH DAKOTA",46,"HAND",59,"HOGS","HOGS - INVENTORY","","(D)"
"South_Dakota.2687","SOUTH DAKOTA",46,"HAND",59,"HOGS","HOGS - OPERATIONS WITH SALES","","3"
"South_Dakota.2688","SOUTH DAKOTA",46,"HAND",59,"HOGS","HOGS - SALES, MEASURED IN HEAD","","(D)"
"South_Dakota.2689","SOUTH DAKOTA",46,"HAND",59,"SHEEP","SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY","","13"
"South_Dakota.2690","SOUTH DAKOTA",46,"HAND",59,"SHEEP","SHEEP, INCL LAMBS - INVENTORY","","1,555"
"South_Dakota.2691","SOUTH DAKOTA",46,"HAND",59,"CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","","13"
"South_Dakota.2692","SOUTH DAKOTA",46,"HAND",59,"CHICKENS","CHICKENS, LAYERS - INVENTORY","","218"
"South_Dakota.2693","SOUTH DAKOTA",46,"HAND",59,"CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","","202"
"South_Dakota.2694","SOUTH DAKOTA",46,"HAND",59,"CORN","CORN, GRAIN - ACRES HARVESTED","","149,949"
"South_Dakota.2695","SOUTH DAKOTA",46,"HAND",59,"CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","","17,594,118"
"South_Dakota.2696","SOUTH DAKOTA",46,"HAND",59,"CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","","75"
"South_Dakota.2697","SOUTH DAKOTA",46,"HAND",59,"CORN","CORN, SILAGE - ACRES HARVESTED","","15,274"
"South_Dakota.2698","SOUTH DAKOTA",46,"HAND",59,"CORN","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","","172,262"
"South_Dakota.2699","SOUTH DAKOTA",46,"HAND",59,"WHEAT","WHEAT - OPERATIONS WITH AREA HARVESTED","","44"
"South_Dakota.2700","SOUTH DAKOTA",46,"HAND",59,"WHEAT","WHEAT - ACRES HARVESTED","","12,722"
"South_Dakota.2701","SOUTH DAKOTA",46,"HAND",59,"WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","","452,217"
"South_Dakota.2702","SOUTH DAKOTA",46,"HAND",59,"WHEAT","WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED","","39"
"South_Dakota.2703","SOUTH DAKOTA",46,"HAND",59,"WHEAT","WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED","","10,228"
"South_Dakota.2704","SOUTH DAKOTA",46,"HAND",59,"WHEAT","WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","","333,122"
"South_Dakota.2705","SOUTH DAKOTA",46,"HAND",59,"WHEAT","WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED","","20"
"South_Dakota.2706","SOUTH DAKOTA",46,"HAND",59,"WHEAT","WHEAT, WINTER - ACRES HARVESTED","","2,494"
"South_Dakota.2707","SOUTH DAKOTA",46,"HAND",59,"WHEAT","WHEAT, WINTER - PRODUCTION, MEASURED IN BU","","119,095"
"South_Dakota.2708","SOUTH DAKOTA",46,"HAND",59,"OATS","OATS - OPERATIONS WITH AREA HARVESTED","","4"
"South_Dakota.2709","SOUTH DAKOTA",46,"HAND",59,"OATS","OATS - ACRES HARVESTED","","(D)"
"South_Dakota.2710","SOUTH DAKOTA",46,"HAND",59,"OATS","OATS - PRODUCTION, MEASURED IN BU","","(D)"
"South_Dakota.2711","SOUTH DAKOTA",46,"HAND",59,"BARLEY","BARLEY - OPERATIONS WITH AREA HARVESTED","","1"
"South_Dakota.2712","SOUTH DAKOTA",46,"HAND",59,"BARLEY","BARLEY - ACRES HARVESTED","","(D)"
"South_Dakota.2713","SOUTH DAKOTA",46,"HAND",59,"BARLEY","BARLEY - PRODUCTION, MEASURED IN BU","","(D)"
"South_Dakota.2714","SOUTH DAKOTA",46,"HAND",59,"SORGHUM","SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED","","11"
"South_Dakota.2715","SOUTH DAKOTA",46,"HAND",59,"SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","","3,574"
"South_Dakota.2716","SOUTH DAKOTA",46,"HAND",59,"SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","","196,834"
"South_Dakota.2717","SOUTH DAKOTA",46,"HAND",59,"SORGHUM","SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED","","9"
"South_Dakota.2718","SOUTH DAKOTA",46,"HAND",59,"SORGHUM","SORGHUM, SILAGE - ACRES HARVESTED","","973"
"South_Dakota.2719","SOUTH DAKOTA",46,"HAND",59,"SORGHUM","SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS","","5,598"
"South_Dakota.2720","SOUTH DAKOTA",46,"HAND",59,"SOYBEANS","SOYBEANS - OPERATIONS WITH AREA HARVESTED","","208"
"South_Dakota.2721","SOUTH DAKOTA",46,"HAND",59,"SOYBEANS","SOYBEANS - ACRES HARVESTED","","243,929"
"South_Dakota.2722","SOUTH DAKOTA",46,"HAND",59,"SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","","8,310,058"
"South_Dakota.2723","SOUTH DAKOTA",46,"HAND",59,"HAY & HAYLAGE","HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED","","226"
"South_Dakota.2724","SOUTH DAKOTA",46,"HAND",59,"HAY & HAYLAGE","HAY & HAYLAGE - ACRES HARVESTED","","78,015"
"South_Dakota.2725","SOUTH DAKOTA",46,"HAND",59,"HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","","98,558"
"South_Dakota.2726","SOUTH DAKOTA",46,"HAND",59,"SUNFLOWER","SUNFLOWER - OPERATIONS WITH AREA HARVESTED","","29"
"South_Dakota.2727","SOUTH DAKOTA",46,"HAND",59,"SUNFLOWER","SUNFLOWER - ACRES HARVESTED","","16,658"
"South_Dakota.2728","SOUTH DAKOTA",46,"HAND",59,"SUNFLOWER","SUNFLOWER - PRODUCTION, MEASURED IN LB","","33,599,924"
"South_Dakota.2729","SOUTH DAKOTA",46,"HAND",59,"AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","","405"
"South_Dakota.2730","SOUTH DAKOTA",46,"HANSON",61,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","","333"
"South_Dakota.2731","SOUTH DAKOTA",46,"HANSON",61,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (1.0 TO 9.9 ACRES)","13"
"South_Dakota.2732","SOUTH DAKOTA",46,"HANSON",61,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (10.0 TO 49.9 ACRES)","48"
"South_Dakota.2733","SOUTH DAKOTA",46,"HANSON",61,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (50 TO 179 ACRES)","53"
"South_Dakota.2734","SOUTH DAKOTA",46,"HANSON",61,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (180 TO 499 ACRES)","68"
"South_Dakota.2735","SOUTH DAKOTA",46,"HANSON",61,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (500 TO 999 ACRES)","62"
"South_Dakota.2736","SOUTH DAKOTA",46,"HANSON",61,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (1,000 OR MORE ACRES)","89"
"South_Dakota.2737","SOUTH DAKOTA",46,"HANSON",61,"FARM OPERATIONS","FARM OPERATIONS - ACRES OPERATED","","270,935"
"South_Dakota.2738","SOUTH DAKOTA",46,"HANSON",61,"FARM OPERATIONS","FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION","","814"
"South_Dakota.2739","SOUTH DAKOTA",46,"HANSON",61,"FARM OPERATIONS","FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","","400"
"South_Dakota.2740","SOUTH DAKOTA",46,"HANSON",61,"AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION","","3,516,095"
"South_Dakota.2741","SOUTH DAKOTA",46,"HANSON",61,"AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","","4,322"
"South_Dakota.2742","SOUTH DAKOTA",46,"HANSON",61,"MACHINERY TOTALS","MACHINERY TOTALS - ASSET VALUE, MEASURED IN $","","123,418,000"
"South_Dakota.2743","SOUTH DAKOTA",46,"HANSON",61,"MACHINERY TOTALS","MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION","","370,625"
"South_Dakota.2744","SOUTH DAKOTA",46,"HANSON",61,"AG LAND","AG LAND, CROPLAND - NUMBER OF OPERATIONS","","303"
"South_Dakota.2745","SOUTH DAKOTA",46,"HANSON",61,"AG LAND","AG LAND, CROPLAND - ACRES","","225,992"
"South_Dakota.2746","SOUTH DAKOTA",46,"HANSON",61,"AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","","249"
"South_Dakota.2747","SOUTH DAKOTA",46,"HANSON",61,"AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","","210,853"
"South_Dakota.2748","SOUTH DAKOTA",46,"HANSON",61,"AG LAND","AG LAND, IRRIGATED - NUMBER OF OPERATIONS","","7"
"South_Dakota.2749","SOUTH DAKOTA",46,"HANSON",61,"AG LAND","AG LAND, IRRIGATED - ACRES","","5,076"
"South_Dakota.2750","SOUTH DAKOTA",46,"HANSON",61,"COMMODITY TOTALS","COMMODITY TOTALS - SALES, MEASURED IN $","","132,793,000"
"South_Dakota.2751","SOUTH DAKOTA",46,"HANSON",61,"COMMODITY TOTALS","COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION","","398,778"
"South_Dakota.2752","SOUTH DAKOTA",46,"HANSON",61,"CROP TOTALS","CROP TOTALS - SALES, MEASURED IN $","","82,082,000"
"South_Dakota.2753","SOUTH DAKOTA",46,"HANSON",61,"ANIMAL TOTALS","ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $","","50,711,000"
"South_Dakota.2754","SOUTH DAKOTA",46,"HANSON",61,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","",""
"South_Dakota.2755","SOUTH DAKOTA",46,"HANSON",61,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (LESS THAN 2,500 $)","79"
"South_Dakota.2756","SOUTH DAKOTA",46,"HANSON",61,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (2,500 TO 4,999 $)","13"
"South_Dakota.2757","SOUTH DAKOTA",46,"HANSON",61,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (5,000 TO 9,999 $)","10"
"South_Dakota.2758","SOUTH DAKOTA",46,"HANSON",61,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (10,000 TO 24,999 $)","21"
"South_Dakota.2759","SOUTH DAKOTA",46,"HANSON",61,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (25,000 TO 49,999 $)","22"
"South_Dakota.2760","SOUTH DAKOTA",46,"HANSON",61,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (50,000 TO 99,999 $)","20"
"South_Dakota.2761","SOUTH DAKOTA",46,"HANSON",61,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (100,000 OR MORE $)","168"
"South_Dakota.2762","SOUTH DAKOTA",46,"HANSON",61,"GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS","","254"
"South_Dakota.2763","SOUTH DAKOTA",46,"HANSON",61,"GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","","5,966,000"
"South_Dakota.2764","SOUTH DAKOTA",46,"HANSON",61,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS","","223"
"South_Dakota.2765","SOUTH DAKOTA",46,"HANSON",61,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","","6,389,000"
"South_Dakota.2766","SOUTH DAKOTA",46,"HANSON",61,"EXPENSE TOTALS","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $","","108,876,000"
"South_Dakota.2767","SOUTH DAKOTA",46,"HANSON",61,"EXPENSE TOTALS","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION","","326,954"
"South_Dakota.2768","SOUTH DAKOTA",46,"HANSON",61,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME","","333"
"South_Dakota.2769","SOUTH DAKOTA",46,"HANSON",61,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $","","36,273,000"
"South_Dakota.2770","SOUTH DAKOTA",46,"HANSON",61,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION","","108,927"
"South_Dakota.2771","SOUTH DAKOTA",46,"HANSON",61,"CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","","148"
"South_Dakota.2772","SOUTH DAKOTA",46,"HANSON",61,"CATTLE","CATTLE, INCL CALVES - INVENTORY","","29,462"
"South_Dakota.2773","SOUTH DAKOTA",46,"HANSON",61,"CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","","135"
"South_Dakota.2774","SOUTH DAKOTA",46,"HANSON",61,"CATTLE","CATTLE, COWS, BEEF - INVENTORY","","13,108"
"South_Dakota.2775","SOUTH DAKOTA",46,"HANSON",61,"CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","","9"
"South_Dakota.2776","SOUTH DAKOTA",46,"HANSON",61,"CATTLE","CATTLE, COWS, MILK - INVENTORY","","723"
"South_Dakota.2777","SOUTH DAKOTA",46,"HANSON",61,"CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH SALES","","141"
"South_Dakota.2778","SOUTH DAKOTA",46,"HANSON",61,"CATTLE","CATTLE, INCL CALVES - SALES, MEASURED IN HEAD","","20,606"
"South_Dakota.2779","SOUTH DAKOTA",46,"HANSON",61,"HOGS","HOGS - OPERATIONS WITH INVENTORY","","10"
"South_Dakota.2780","SOUTH DAKOTA",46,"HANSON",61,"HOGS","HOGS - INVENTORY","","42,453"
"South_Dakota.2781","SOUTH DAKOTA",46,"HANSON",61,"HOGS","HOGS - OPERATIONS WITH SALES","","11"
"South_Dakota.2782","SOUTH DAKOTA",46,"HANSON",61,"HOGS","HOGS - SALES, MEASURED IN HEAD","","79,756"
"South_Dakota.2783","SOUTH DAKOTA",46,"HANSON",61,"SHEEP","SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY","","15"
"South_Dakota.2784","SOUTH DAKOTA",46,"HANSON",61,"SHEEP","SHEEP, INCL LAMBS - INVENTORY","","728"
"South_Dakota.2785","SOUTH DAKOTA",46,"HANSON",61,"CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","","17"
"South_Dakota.2786","SOUTH DAKOTA",46,"HANSON",61,"CHICKENS","CHICKENS, LAYERS - INVENTORY","","633"
"South_Dakota.2787","SOUTH DAKOTA",46,"HANSON",61,"CHICKENS","CHICKENS, BROILERS - OPERATIONS WITH SALES","","2"
"South_Dakota.2788","SOUTH DAKOTA",46,"HANSON",61,"CHICKENS","CHICKENS, BROILERS - SALES, MEASURED IN HEAD","","(D)"
"South_Dakota.2789","SOUTH DAKOTA",46,"HANSON",61,"CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","","187"
"South_Dakota.2790","SOUTH DAKOTA",46,"HANSON",61,"CORN","CORN, GRAIN - ACRES HARVESTED","","92,874"
"South_Dakota.2791","SOUTH DAKOTA",46,"HANSON",61,"CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","","14,188,421"
"South_Dakota.2792","SOUTH DAKOTA",46,"HANSON",61,"CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","","24"
"South_Dakota.2793","SOUTH DAKOTA",46,"HANSON",61,"CORN","CORN, SILAGE - ACRES HARVESTED","","2,446"
"South_Dakota.2794","SOUTH DAKOTA",46,"HANSON",61,"CORN","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","","31,995"
"South_Dakota.2795","SOUTH DAKOTA",46,"HANSON",61,"WHEAT","WHEAT - OPERATIONS WITH AREA HARVESTED","","19"
"South_Dakota.2796","SOUTH DAKOTA",46,"HANSON",61,"WHEAT","WHEAT - ACRES HARVESTED","","3,579"
"South_Dakota.2797","SOUTH DAKOTA",46,"HANSON",61,"WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","","212,259"
"South_Dakota.2798","SOUTH DAKOTA",46,"HANSON",61,"WHEAT","WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED","","1"
"South_Dakota.2799","SOUTH DAKOTA",46,"HANSON",61,"WHEAT","WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED","","(D)"
"South_Dakota.2800","SOUTH DAKOTA",46,"HANSON",61,"WHEAT","WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","","(D)"
"South_Dakota.2801","SOUTH DAKOTA",46,"HANSON",61,"WHEAT","WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED","","18"
"South_Dakota.2802","SOUTH DAKOTA",46,"HANSON",61,"WHEAT","WHEAT, WINTER - ACRES HARVESTED","","(D)"
"South_Dakota.2803","SOUTH DAKOTA",46,"HANSON",61,"WHEAT","WHEAT, WINTER - PRODUCTION, MEASURED IN BU","","(D)"
"South_Dakota.2804","SOUTH DAKOTA",46,"HANSON",61,"OATS","OATS - OPERATIONS WITH AREA HARVESTED","","5"
"South_Dakota.2805","SOUTH DAKOTA",46,"HANSON",61,"OATS","OATS - ACRES HARVESTED","","403"
"South_Dakota.2806","SOUTH DAKOTA",46,"HANSON",61,"OATS","OATS - PRODUCTION, MEASURED IN BU","","30,855"
"South_Dakota.2807","SOUTH DAKOTA",46,"HANSON",61,"SORGHUM","SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED","","4"
"South_Dakota.2808","SOUTH DAKOTA",46,"HANSON",61,"SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","","25"
"South_Dakota.2809","SOUTH DAKOTA",46,"HANSON",61,"SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","","2,300"
"South_Dakota.2810","SOUTH DAKOTA",46,"HANSON",61,"SORGHUM","SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED","","3"
"South_Dakota.2811","SOUTH DAKOTA",46,"HANSON",61,"SORGHUM","SORGHUM, SILAGE - ACRES HARVESTED","","135"
"South_Dakota.2812","SOUTH DAKOTA",46,"HANSON",61,"SORGHUM","SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS","","900"
"South_Dakota.2813","SOUTH DAKOTA",46,"HANSON",61,"SOYBEANS","SOYBEANS - OPERATIONS WITH AREA HARVESTED","","201"
"South_Dakota.2814","SOUTH DAKOTA",46,"HANSON",61,"SOYBEANS","SOYBEANS - ACRES HARVESTED","","100,077"
"South_Dakota.2815","SOUTH DAKOTA",46,"HANSON",61,"SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","","4,454,132"
"South_Dakota.2816","SOUTH DAKOTA",46,"HANSON",61,"HAY & HAYLAGE","HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED","","152"
"South_Dakota.2817","SOUTH DAKOTA",46,"HANSON",61,"HAY & HAYLAGE","HAY & HAYLAGE - ACRES HARVESTED","","11,114"
"South_Dakota.2818","SOUTH DAKOTA",46,"HANSON",61,"HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","","27,190"
"South_Dakota.2819","SOUTH DAKOTA",46,"HANSON",61,"AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","","333"
"South_Dakota.2820","SOUTH DAKOTA",46,"HARDING",63,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","","265"
"South_Dakota.2821","SOUTH DAKOTA",46,"HARDING",63,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (1.0 TO 9.9 ACRES)","8"
"South_Dakota.2822","SOUTH DAKOTA",46,"HARDING",63,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (10.0 TO 49.9 ACRES)","9"
"South_Dakota.2823","SOUTH DAKOTA",46,"HARDING",63,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (50 TO 179 ACRES)","5"
"South_Dakota.2824","SOUTH DAKOTA",46,"HARDING",63,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (180 TO 499 ACRES)","20"
"South_Dakota.2825","SOUTH DAKOTA",46,"HARDING",63,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (500 TO 999 ACRES)","12"
"South_Dakota.2826","SOUTH DAKOTA",46,"HARDING",63,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (1,000 OR MORE ACRES)","211"
"South_Dakota.2827","SOUTH DAKOTA",46,"HARDING",63,"FARM OPERATIONS","FARM OPERATIONS - ACRES OPERATED","","1,467,765"
"South_Dakota.2828","SOUTH DAKOTA",46,"HARDING",63,"FARM OPERATIONS","FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION","","5,539"
"South_Dakota.2829","SOUTH DAKOTA",46,"HARDING",63,"FARM OPERATIONS","FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","","2,700"
"South_Dakota.2830","SOUTH DAKOTA",46,"HARDING",63,"AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION","","3,683,948"
"South_Dakota.2831","SOUTH DAKOTA",46,"HARDING",63,"AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","","665"
"South_Dakota.2832","SOUTH DAKOTA",46,"HARDING",63,"MACHINERY TOTALS","MACHINERY TOTALS - ASSET VALUE, MEASURED IN $","","60,566,000"
"South_Dakota.2833","SOUTH DAKOTA",46,"HARDING",63,"MACHINERY TOTALS","MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION","","228,551"
"South_Dakota.2834","SOUTH DAKOTA",46,"HARDING",63,"AG LAND","AG LAND, CROPLAND - NUMBER OF OPERATIONS","","174"
"South_Dakota.2835","SOUTH DAKOTA",46,"HARDING",63,"AG LAND","AG LAND, CROPLAND - ACRES","","184,604"
"South_Dakota.2836","SOUTH DAKOTA",46,"HARDING",63,"AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","","140"
"South_Dakota.2837","SOUTH DAKOTA",46,"HARDING",63,"AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","","96,615"
"South_Dakota.2838","SOUTH DAKOTA",46,"HARDING",63,"AG LAND","AG LAND, IRRIGATED - NUMBER OF OPERATIONS","","15"
"South_Dakota.2839","SOUTH DAKOTA",46,"HARDING",63,"AG LAND","AG LAND, IRRIGATED - ACRES","","1,107"
"South_Dakota.2840","SOUTH DAKOTA",46,"HARDING",63,"COMMODITY TOTALS","COMMODITY TOTALS - SALES, MEASURED IN $","","63,368,000"
"South_Dakota.2841","SOUTH DAKOTA",46,"HARDING",63,"COMMODITY TOTALS","COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION","","239,125"
"South_Dakota.2842","SOUTH DAKOTA",46,"HARDING",63,"CROP TOTALS","CROP TOTALS - SALES, MEASURED IN $","","7,584,000"
"South_Dakota.2843","SOUTH DAKOTA",46,"HARDING",63,"ANIMAL TOTALS","ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $","","55,784,000"
"South_Dakota.2844","SOUTH DAKOTA",46,"HARDING",63,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","",""
"South_Dakota.2845","SOUTH DAKOTA",46,"HARDING",63,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (LESS THAN 2,500 $)","33"
"South_Dakota.2846","SOUTH DAKOTA",46,"HARDING",63,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (2,500 TO 4,999 $)","3"
"South_Dakota.2847","SOUTH DAKOTA",46,"HARDING",63,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (5,000 TO 9,999 $)","8"
"South_Dakota.2848","SOUTH DAKOTA",46,"HARDING",63,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (10,000 TO 24,999 $)","18"
"South_Dakota.2849","SOUTH DAKOTA",46,"HARDING",63,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (25,000 TO 49,999 $)","16"
"South_Dakota.2850","SOUTH DAKOTA",46,"HARDING",63,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (50,000 TO 99,999 $)","40"
